title,description,creator,date,subject,coverage,digital collection,holding institution,source,identifier,rights,rightsstatement,media type,type,format,digitization specifications,language,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"The Family Tree : 1937, August","Vol. 1 No. 11, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-08,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3708,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/300,300,spec_pot300,pdf,spec_pot300.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot300.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot300_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot300_th.jpg,
"The Family Tree : 1937, September","Vol. 1 No. 12, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-09,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3709,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/345,345,spec_pot345,pdf,spec_pot345.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot345.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot345_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot345_th.jpg,
"The Family Tree : 1937, October","Vol. 2 No. 01, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-10,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3710,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/336,336,spec_pot336,pdf,spec_pot336.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot336.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot336_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot336_th.jpg,
"The Family Tree : 1937, November","Vol. 2 No. 02, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-11,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3711,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/327,327,spec_pot327,pdf,spec_pot327.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot327.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot327_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot327_th.jpg,
"The Family Tree : 1937, December","Vol. 2 No. 03, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-12,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3712,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/365,365,spec_pot365,pdf,spec_pot365.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot365.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot365_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot365_th.jpg,
"The Family Tree : 1938, January","Vol. 2 No. 4, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-01,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3801,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/32,32,spec_pot32,pdf,spec_pot32.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot32.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot32_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot32_th.jpg,
"The Family Tree : 1938, February","Vol. 2 No. 5, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-02,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3802,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/23,23,spec_pot23,pdf,spec_pot23.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot23.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot23_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot23_th.jpg,
"The Family Tree : 1938, March","Vol. 2 No. 6, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-03,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3803,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/59,59,spec_pot59,pdf,spec_pot59.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot59.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot59_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot59_th.jpg,
"The Family Tree : 1938, April","Vol. 2 No. 7, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-04,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3804,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/68,68,spec_pot68,pdf,spec_pot68.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot68.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot68_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot68_th.jpg,
"The Family Tree : 1938, May","Vol. 2 No. 8, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-05,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3805,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/50,50,spec_pot50,pdf,spec_pot50.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot50.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot50_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot50_th.jpg,
"The Family Tree : 1938, June","Vol. 2 No. 9, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-06,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3806,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/77,77,spec_pot77,pdf,spec_pot77.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot77.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot77_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot77_th.jpg,
"The Family Tree : 1938, July","Vol. 2 No. 10, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-07,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3807,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/41,41,spec_pot41,pdf,spec_pot41.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot41.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot41_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot41_th.jpg,
"The Family Tree : 1938, August","Vol. 2 No. 11, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1938-08,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3808,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,Text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/104,104,spec_pot104,pdf,spec_pot104.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot104.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot104_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot104_th.jpg,
